Date,Close
2017-01-03,30.27
2017-01-04,30.97
2017-01-05,30.49
2017-01-06,30.44
2017-01-09,30.25
2017-01-10,30.31
2017-01-11,30.35
2017-01-12,30.59
2017-01-13,30.95
2017-01-17,30.33
2017-01-18,30.49
2017-01-19,29.96
2017-01-20,29.95
2017-01-23,29.55
2017-01-24,29.95
2017-01-25,30.09
2017-01-26,29.77
2017-01-27,29.97
2017-01-30,29.34
2017-01-31,29.62
2017-02-01,29.62
2017-02-02,29.84
2017-02-03,30.26
2017-02-06,29.89
2017-02-07,30.05
2017-02-08,30.24
2017-02-09,31.7
2017-02-10,31.34
2017-02-13,31.41
2017-02-14,31.3
2017-02-15,31.0
2017-02-16,30.86
2017-02-17,31.18
2017-02-21,31.46
2017-02-22,31.46
2017-02-23,31.42
2017-02-24,31.4
2017-02-27,31.48
2017-02-28,31.03
2017-03-01,32.01
2017-03-02,31.8
2017-03-03,31.8
2017-03-06,31.67
2017-03-07,31.52
2017-03-08,31.57
2017-03-09,31.37
2017-03-10,31.48
2017-03-13,31.58
2017-03-14,31.51
2017-03-15,31.8
2017-03-16,31.81
2017-03-17,31.72
2017-03-20,31.73
2017-03-21,31.05
2017-03-22,31.17
2017-03-23,31.24
2017-03-24,31.32
2017-03-27,31.35
2017-03-28,31.71
2017-03-29,31.67
2017-03-30,32.2
2017-03-31,32.01
2017-04-03,31.75
2017-04-04,31.27
2017-04-05,31.0
2017-04-06,31.38
2017-04-07,31.21
2017-04-10,31.25
2017-04-11,31.45
2017-04-12,30.84
2017-04-13,30.46
2017-04-17,30.69
2017-04-18,30.87
2017-04-19,30.91
2017-04-20,31.1
2017-04-21,30.95
2017-04-24,32.05
2017-04-25,32.74
2017-04-26,32.34
2017-04-27,32.62
2017-04-28,35.43
2017-05-01,35.83
2017-05-02,36.04
2017-05-03,35.61
2017-05-04,35.67
2017-05-05,36.0
2017-05-08,35.91
2017-05-09,35.67
2017-05-10,35.83
2017-05-11,35.65
2017-05-12,35.58
2017-05-15,35.63
2017-05-16,35.59
2017-05-17,34.46
2017-05-18,34.35
2017-05-19,35.53
